onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2341	Children	1	Other	8806	2.0
40	10	2391	Outdoors	2	Past	9974	1.0
56	10	2224	Amusement	3	Other	9957	1.0
72	10	CS10	Control Stimulus	4	Control	1379	2.0
88	10	2191	HardWork	5	Past	9021	2.0
104	10	2272	Alone	6	Null	0	n/a
120	10	2360	Home	7	Future	8786	1.0
136	10	2209	Preparation	8	Other	10442	2.0
152	10	CS16	Control Stimulus	9	Control	1829	1.0
168	10	9421	War	10	Other	8969	2.0
184	10	2216	Cooperation	11	Future	10269	2.0
200	10	2130	Anger	12	Past	10997	2.0
216	10	2091	Friends	13	Future	8472	1.0
232	10	2346	Waterfall	14	Null	0	n/a
248	10	2160	Nurture	15	Past	9293	2.0
264	10	2310	Admire	16	Null	0	n/a
280	10	CS09	Control Stimulus	17	Control	2625	3.0
296	10	2331	White	18	Null	0	n/a
312	10	2205	Loss	19	Other	7665	2.0
328	10	2150	Safe	20	Past	8559	2.0
344	10	2092	Clowns	21	Future	10673	2.0
360	10	CS13	Control Stimulus	22	Control	1507	1.0
376	10	2340	Laughter	23	Null	0	n/a
392	10	1601	Zoo	24	Past	8638	3.0
408	10	2312	Poverty	25	Future	10570	3.0
424	10	CS12	Control Stimulus	26	Control	2119	2.0
440	10	CS14	Control Stimulus	27	Control	3066	3.0
456	10	1112	Danger	28	Other	10016	3.0
472	10	2399	Headache	29	Future	8672	1.0
488	10	2208	Celebration	30	Null	0	n/a
